PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38406183","Gut microbiota, nutrition, and mental health","Merlo G, Bachtel G, Sugden SG.","Front Nutr. 2024 Feb 9;11:1337889. doi: 10.3389/fnut.2024.1337889. eCollection 2024.","Merlo G","Front Nutr","2024","2024/02/26","PMC10884323","","10.3389/fnut.2024.1337889"
"38278378","Fermented foods: Harnessing their potential to modulate the microbiota-gut-brain axis for mental health","Balasubramanian R, Schneider E, Gunnigle E, Cotter PD, Cryan JF.","Neurosci Biobehav Rev. 2024 Mar;158:105562. doi: 10.1016/j.neubiorev.2024.105562. Epub 2024 Jan 24.","Balasubramanian R","Neurosci Biobehav Rev","2024","2024/01/26","","","10.1016/j.neubiorev.2024.105562"
"38972900","Humid heat environment causes anxiety-like disorder via impairing gut microbiota and bile acid metabolism in mice","Weng H, Deng L, Wang T, Xu H, Wu J, Zhou Q, Yu L, Chen B, Huang L, Qu Y, Zhou L, Chen X.","Nat Commun. 2024 Jul 7;15(1):5697. doi: 10.1038/s41467-024-49972-w.","Weng H","Nat Commun","2024","2024/07/07","PMC11228019","","10.1038/s41467-024-49972-w"
"38353184","Stressed to the Core: Inflammation and Intestinal Permeability Link Stress-Related Gut Microbiota Shifts to Mental Health Outcomes","Madison AA, Bailey MT.","Biol Psychiatry. 2024 Feb 15;95(4):339-347. doi: 10.1016/j.biopsych.2023.10.014. Epub 2023 Oct 29.","Madison AA","Biol Psychiatry","2024","2024/02/14","PMC10867428","NIHMS1953650","10.1016/j.biopsych.2023.10.014"
"38582087","Gut bacteria-driven homovanillic acid alleviates depression by modulating synaptic integrity","Zhao M, Ren Z, Zhao A, Tang Y, Kuang J, Li M, Chen T, Wang S, Wang J, Zhang H, Wang J, Zhang T, Zeng J, Liu X, Xie G, Liu P, Sun N, Bao T, Nie T, Lin J, Liu P, Zheng Y, Zheng X, Liu T, Jia W.","Cell Metab. 2024 May 7;36(5):1000-1012.e6. doi: 10.1016/j.cmet.2024.03.010. Epub 2024 Apr 5.","Zhao M","Cell Metab","2024","2024/04/06","","","10.1016/j.cmet.2024.03.010"
"38417224","Integrated multi-omics analysis reveals gut microbiota dysbiosis and systemic disturbance in major depressive disorder","Xie Z, Huang J, Sun G, He S, Luo Z, Zhang L, Li L, Yao M, Du C, Yu W, Feng Y, Yang D, Zhang J, Ge C, Li H, Geng M.","Psychiatry Res. 2024 Apr;334:115804. doi: 10.1016/j.psychres.2024.115804. Epub 2024 Feb 18.","Xie Z","Psychiatry Res","2024","2024/02/28","","","10.1016/j.psychres.2024.115804"
"37914097","Priming of microglia with dysfunctional gut microbiota impairs hippocampal neurogenesis and fosters stress vulnerability of mice","He H, He H, Mo L, You Z, Zhang J.","Brain Behav Immun. 2024 Jan;115:280-294. doi: 10.1016/j.bbi.2023.10.031. Epub 2023 Oct 31.","He H","Brain Behav Immun","2024","2023/11/01","","","10.1016/j.bbi.2023.10.031"
"38260914","Rosacea, microbiome and probiotics: the gut-skin axis","Sánchez-Pellicer P, Eguren-Michelena C, García-Gavín J, Llamas-Velasco M, Navarro-Moratalla L, Núñez-Delegido E, Agüera-Santos J, Navarro-López V.","Front Microbiol. 2024 Jan 8;14:1323644. doi: 10.3389/fmicb.2023.1323644. eCollection 2023.","Sánchez-Pellicer P","Front Microbiol","2024","2024/01/23","PMC10800857","","10.3389/fmicb.2023.1323644"
"38421082","Unraveling the gut-brain connection: The association of microbiota-linked structural brain biomarkers with behavior and mental health","Contreras-Rodriguez O, Blasco G, Biarnés C, Puig J, Arnoriaga-Rodríguez M, Coll-Martinez C, Gich J, Ramió-Torrentà L, Motger-Albertí A, Pérez-Brocal V, Moya A, Radua J, Manuel Fernández-Real J.","Psychiatry Clin Neurosci. 2024 Jun;78(6):339-346. doi: 10.1111/pcn.13655. Epub 2024 Feb 29.","Contreras-Rodriguez O","Psychiatry Clin Neurosci","2024","2024/02/29","PMC11488601","","10.1111/pcn.13655"
"37962812","Microbiota-Gut-Brain Axis and Antidepressant Treatment","Lachmansingh DA, Lavelle A, Cryan JF, Clarke G.","Curr Top Behav Neurosci. 2024;66:175-216. doi: 10.1007/7854_2023_449.","Lachmansingh DA","Curr Top Behav Neurosci","2024","2023/11/14","","","10.1007/7854_2023_449"
"38123016","The many faces of microbiota-gut-brain axis in autism spectrum disorder","Gonçalves CL, Doifode T, Rezende VL, Costa MA, Rhoads JM, Soutullo CA.","Life Sci. 2024 Jan 15;337:122357. doi: 10.1016/j.lfs.2023.122357. Epub 2023 Dec 19.","Gonçalves CL","Life Sci","2024","2023/12/20","","","10.1016/j.lfs.2023.122357"
"37989444","Gut microbiota-mediated ursodeoxycholic acids regulate the inflammation of microglia through TGR5 signaling after MCAO","Zhang F, Deng Y, Wang H, Fu J, Wu G, Duan Z, Zhang X, Cai Y, Zhou H, Yin J, He Y.","Brain Behav Immun. 2024 Jan;115:667-679. doi: 10.1016/j.bbi.2023.11.021. Epub 2023 Nov 19.","Zhang F","Brain Behav Immun","2024","2023/11/21","","","10.1016/j.bbi.2023.11.021"
"39110402","Gut microbiota and healthy longevity","Luo J, Liang S, Jin F.","Sci China Life Sci. 2024 Aug 2. doi: 10.1007/s11427-023-2595-5. Online ahead of print.","Luo J","Sci China Life Sci","2024","2024/08/07","","","10.1007/s11427-023-2595-5"
