PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38098067","Parkinson's disease and gut microbiota: from clinical to mechanistic and therapeutic studies","Zhang X, Tang B, Guo J.","Transl Neurodegener. 2023 Dec 15;12(1):59. doi: 10.1186/s40035-023-00392-8.","Zhang X","Transl Neurodegener","2023","2023/12/15","PMC10722742","","10.1186/s40035-023-00392-8"
"37159496","Associations between gut microbiota and Parkinson disease: A bidirectional Mendelian randomization analysis","Jiang L, Li JC, Tang BS, Guo JF.","Eur J Neurol. 2023 Nov;30(11):3471-3477. doi: 10.1111/ene.15848. Epub 2023 May 26.","Jiang L","Eur J Neurol","2023","2023/05/09","","","10.1111/ene.15848"
"37404311","Signalling cognition: the gut microbiota and hypothalamic-pituitary-adrenal axis","Rusch JA, Layden BT, Dugas LR.","Front Endocrinol (Lausanne). 2023 Jun 19;14:1130689. doi: 10.3389/fendo.2023.1130689. eCollection 2023.","Rusch JA","Front Endocrinol (Lausanne)","2023","2023/07/05","PMC10316519","","10.3389/fendo.2023.1130689"
"36593694","Gut microbiota dysbiosis in Parkinson disease: A systematic review and pooled analysis","Kleine Bardenhorst S, Cereda E, Severgnini M, Barichella M, Pezzoli G, Keshavarzian A, Desideri A, Pietrucci D, Aho VTE, Scheperjans F, Hildebrand F, Weis S, Egert M, Karch A, Vital M, Rübsamen N.","Eur J Neurol. 2023 Nov;30(11):3581-3594. doi: 10.1111/ene.15671. Epub 2023 Jan 18.","Kleine Bardenhorst S","Eur J Neurol","2023","2023/01/03","","","10.1111/ene.15671"
"36332796","Gut microbiome and Parkinson's disease: Perspective on pathogenesis and treatment","Salim S, Ahmad F, Banu A, Mohammad F.","J Adv Res. 2023 Aug;50:83-105. doi: 10.1016/j.jare.2022.10.013. Epub 2022 Nov 1.","Salim S","J Adv Res","2023","2022/11/04","PMC10403695","","10.1016/j.jare.2022.10.013"
"36816743","The Role of Gut Microbiota in Various Neurological and Psychiatric Disorders-An Evidence Mapping Based on Quantified Evidence","Zang Y, Lai X, Li C, Ding D, Wang Y, Zhu Y.","Mediators Inflamm. 2023 Feb 8;2023:5127157. doi: 10.1155/2023/5127157. eCollection 2023.","Zang Y","Mediators Inflamm","2023","2023/02/23","PMC9936509","","10.1155/2023/5127157"
"37368331","Gut Microbiota and Its Repercussion in Parkinson's Disease: A Systematic Review in Occidental Patients","Proano AC, Viteri JA, Orozco EN, Calle MA, Costa SC, Reyes DV, German-Montenegro M, Moncayo DF, Tobar AC, Moncayo JA.","Neurol Int. 2023 Jun 13;15(2):750-763. doi: 10.3390/neurolint15020047.","Proano AC","Neurol Int","2023","2023/06/27","PMC10300807","","10.3390/neurolint15020047"
"37892440","Gut Microbiota Composition in Patients with Neurodegenerative Disorders (Parkinson's and Alzheimer's) and Healthy Controls: A Systematic Review","Heravi FS, Naseri K, Hu H.","Nutrients. 2023 Oct 13;15(20):4365. doi: 10.3390/nu15204365.","Heravi FS","Nutrients","2023","2023/10/28","PMC10609969","","10.3390/nu15204365"
"37208728","Dysbiosis of gut microbiota inhibits NMNAT2 to promote neurobehavioral deficits and oxidative stress response in the 6-OHDA-lesioned rat model of Parkinson's disease","Yu J, Meng J, Qin Z, Yu Y, Liang Y, Wang Y, Min D.","J Neuroinflammation. 2023 May 19;20(1):117. doi: 10.1186/s12974-023-02782-1.","Yu J","J Neuroinflammation","2023","2023/05/19","PMC10199500","","10.1186/s12974-023-02782-1"
"38088063","Gut microbiota defined epigenomes of Alzheimer's and Parkinson's diseases reveal novel targets for therapy","Nohesara S, Abdolmaleky HM, Thiagalingam S, Zhou JR.","Epigenomics. 2024 Jan;16(1):57-77. doi: 10.2217/epi-2023-0342. Epub 2023 Dec 13.","Nohesara S","Epigenomics","2024","2023/12/13","PMC10804213","","10.2217/epi-2023-0342"
"37600019","The gut microbiota-brain axis in neurological disorder","Ullah H, Arbab S, Tian Y, Liu CQ, Chen Y, Qijie L, Khan MIU, Hassan IU, Li K.","Front Neurosci. 2023 Aug 4;17:1225875. doi: 10.3389/fnins.2023.1225875. eCollection 2023.","Ullah H","Front Neurosci","2023","2023/08/21","PMC10436500","","10.3389/fnins.2023.1225875"
"37913731","Flavonoids: Their putative neurologic roles, epigenetic changes, and gut microbiota alterations in Parkinson's disease","Açar Y, Ağagündüz D, De Cicco P, Capasso R.","Biomed Pharmacother. 2023 Dec;168:115788. doi: 10.1016/j.biopha.2023.115788. Epub 2023 Oct 31.","Açar Y","Biomed Pharmacother","2023","2023/11/01","","","10.1016/j.biopha.2023.115788"
"37823531","Role of Bmal1 and Gut Microbiota in Alzheimer's Disease and Parkinson's Disease Pathophysiology: The Probable Effect of Melatonin on Their Association","Khezri MR, Esmaeili A, Ghasemnejad-Berenji M.","ACS Chem Neurosci. 2023 Nov 1;14(21):3883-3893. doi: 10.1021/acschemneuro.3c00418. Epub 2023 Oct 12.","Khezri MR","ACS Chem Neurosci","2023","2023/10/12","","","10.1021/acschemneuro.3c00418"
"36934020","Oral and intestinal dysbiosis in Parkinson's disease","Berthouzoz E, Lazarevic V, Zekeridou A, Castro M, Debove I, Aybek S, Schrenzel J, Burkhard PR, Fleury V.","Rev Neurol (Paris). 2023 Nov;179(9):937-946. doi: 10.1016/j.neurol.2022.12.010. Epub 2023 Mar 16.","Berthouzoz E","Rev Neurol (Paris)","2023","2023/03/18","","","10.1016/j.neurol.2022.12.010"
"36284437","Gut bacterial profiles in Parkinson's disease: A systematic review","Li Z, Liang H, Hu Y, Lu L, Zheng C, Fan Y, Wu B, Zou T, Luo X, Zhang X, Zeng Y, Liu Z, Zhou Z, Yue Z, Ren Y, Li Z, Su Q, Xu P.","CNS Neurosci Ther. 2023 Jan;29(1):140-157. doi: 10.1111/cns.13990. Epub 2022 Oct 25.","Li Z","CNS Neurosci Ther","2023","2022/10/26","PMC9804059","","10.1111/cns.13990"
"37967548","Gut Frailty: Its Concept and Pathogenesis","Naito Y.","Digestion. 2024;105(1):49-57. doi: 10.1159/000534733. Epub 2023 Nov 15.","Naito Y","Digestion","2024","2023/11/15","PMC10777716","","10.1159/000534733"
"38173790","Multidirectional associations between the gut microbiota and Parkinson's disease, updated information from the perspectives of humoral pathway, cellular immune pathway and neuronal pathway","Jia X, Chen Q, Zhang Y, Asakawa T.","Front Cell Infect Microbiol. 2023 Dec 15;13:1296713. doi: 10.3389/fcimb.2023.1296713. eCollection 2023.","Jia X","Front Cell Infect Microbiol","2023","2024/01/04","PMC10762314","","10.3389/fcimb.2023.1296713"
"37130861","Gut microbiome dysbiosis across early Parkinson's disease, REM sleep behavior disorder and their first-degree relatives","Huang B, Chau SWH, Liu Y, Chan JWY, Wang J, Ma SL, Zhang J, Chan PKS, Yeoh YK, Chen Z, Zhou L, Wong SH, Mok VCT, To KF, Lai HM, Ng S, Trenkwalder C, Chan FKL, Wing YK.","Nat Commun. 2023 May 2;14(1):2501. doi: 10.1038/s41467-023-38248-4.","Huang B","Nat Commun","2023","2023/05/02","PMC10154387","","10.1038/s41467-023-38248-4"
"37960284","Understanding the Gut-Brain Axis and Its Therapeutic Implications for Neurodegenerative Disorders","Zheng Y, Bonfili L, Wei T, Eleuteri AM.","Nutrients. 2023 Oct 31;15(21):4631. doi: 10.3390/nu15214631.","Zheng Y","Nutrients","2023","2023/11/14","PMC10648099","","10.3390/nu15214631"
"37298527","Neurodegenerative and Neurodevelopmental Diseases and the Gut-Brain Axis: The Potential of Therapeutic Targeting of the Microbiome","Bicknell B, Liebert A, Borody T, Herkes G, McLachlan C, Kiat H.","Int J Mol Sci. 2023 May 31;24(11):9577. doi: 10.3390/ijms24119577.","Bicknell B","Int J Mol Sci","2023","2023/06/10","PMC10253993","","10.3390/ijms24119577"
"37179826","Mitochondria: It is all about energy","Casanova A, Wevers A, Navarro-Ledesma S, Pruimboom L.","Front Physiol. 2023 Apr 25;14:1114231. doi: 10.3389/fphys.2023.1114231. eCollection 2023.","Casanova A","Front Physiol","2023","2023/05/14","PMC10167337","","10.3389/fphys.2023.1114231"
"37619773","The role of the indoles in microbiota-gut-brain axis and potential therapeutic targets: A focus on human neurological and neuropsychiatric diseases","Zhou Y, Chen Y, He H, Peng M, Zeng M, Sun H.","Neuropharmacology. 2023 Nov 15;239:109690. doi: 10.1016/j.neuropharm.2023.109690. Epub 2023 Aug 22.","Zhou Y","Neuropharmacology","2023","2023/08/24","","","10.1016/j.neuropharm.2023.109690"
"37389240","Epidemiology of small intestinal bacterial overgrowth","Efremova I, Maslennikov R, Poluektova E, Vasilieva E, Zharikov Y, Suslov A, Letyagina Y, Kozlov E, Levshina A, Ivashkin V.","World J Gastroenterol. 2023 Jun 14;29(22):3400-3421. doi: 10.3748/wjg.v29.i22.3400.","Efremova I","World J Gastroenterol","2023","2023/06/30","PMC10303511","","10.3748/wjg.v29.i22.3400"
"37798034","Safety and feasibility of faecal microbiota transplantation for patients with Parkinson's disease: a protocol for a self-controlled interventional donor-FMT pilot study","Vendrik KE, Chernova VO, Kuijper EJ, Terveer EM, van Hilten JJ, Contarino MF; FMT4PD study group.","BMJ Open. 2023 Oct 5;13(10):e071766. doi: 10.1136/bmjopen-2023-071766.","Vendrik KE","BMJ Open","2023","2023/10/05","PMC10565159","","10.1136/bmjopen-2023-071766"
"36334596","The intestinal barrier in disorders of the central nervous system","Pellegrini C, Fornai M, D'Antongiovanni V, Antonioli L, Bernardini N, Derkinderen P.","Lancet Gastroenterol Hepatol. 2023 Jan;8(1):66-80. doi: 10.1016/S2468-1253(22)00241-2. Epub 2022 Nov 2.","Pellegrini C","Lancet Gastroenterol Hepatol","2023","2022/11/05","","","10.1016/S2468-1253(22)00241-2"
"38057970","Efficacy of fecal microbiota transplantation in patients with Parkinson's disease: clinical trial results from a randomized, placebo-controlled design","Cheng Y, Tan G, Zhu Q, Wang C, Ruan G, Ying S, Qie J, Hu X, Xiao Z, Xu F, Chen L, Chen M, Pei Y, Zhang H, Tian Y, Chen D, Liu X, Huang H, Wei Y.","Gut Microbes. 2023 Dec;15(2):2284247. doi: 10.1080/19490976.2023.2284247. Epub 2023 Dec 6.","Cheng Y","Gut Microbes","2023","2023/12/07","PMC10841011","","10.1080/19490976.2023.2284247"
"37798868","Erythrocytic α-Synuclein and the Gut Microbiome: Kindling of the Gut-Brain Axis in Parkinson's Disease","Yang Y, Stewart T, Zhang C, Wang P, Xu Z, Jin J, Huang Y, Liu Z, Lan G, Liang X, Sheng L, Shi M, Cai Z, Zhang J.","Mov Disord. 2024 Jan;39(1):40-52. doi: 10.1002/mds.29620. Epub 2023 Oct 5.","Yang Y","Mov Disord","2024","2023/10/06","","","10.1002/mds.29620"
"37492530","Akkermansia muciniphila in neuropsychiatric disorders: friend or foe?","Lei W, Cheng Y, Gao J, Liu X, Shao L, Kong Q, Zheng N, Ling Z, Hu W.","Front Cell Infect Microbiol. 2023 Jul 10;13:1224155. doi: 10.3389/fcimb.2023.1224155. eCollection 2023.","Lei W","Front Cell Infect Microbiol","2023","2023/07/26","PMC10363720","","10.3389/fcimb.2023.1224155"
"36881358","Meta-analysis of the relations between gut microbiota and pathogens and Parkinson's disease","Zhou S, Li B, Deng Y, Yi J, Mao G, Wang R, Zeng W, Liu B, Wu D, Liu F.","Adv Clin Exp Med. 2023 Jun;32(6):613-621. doi: 10.17219/acem/157193.","Zhou S","Adv Clin Exp Med","2023","2023/03/07","","","10.17219/acem/157193"
"37515687","Gut microbiota bridges the iron homeostasis and host health","Xiao L, Tang R, Wang J, Wan D, Yin Y, Xie L.","Sci China Life Sci. 2023 Sep;66(9):1952-1975. doi: 10.1007/s11427-022-2302-5. Epub 2023 Jul 27.","Xiao L","Sci China Life Sci","2023","2023/07/29","","","10.1007/s11427-022-2302-5"
"37346870","Gut Microbiota and Neuropsychiatric Disorders","Bidaki R, Hekmati Moghaddam SH, Sadeh M.","Basic Clin Neurosci. 2023 Jan-Feb;14(1):167-170. doi: 10.32598/bcn.2021.3220.1. Epub 2023 Jan 1.","Bidaki R","Basic Clin Neurosci","2023","2023/06/22","PMC10279994","","10.32598/bcn.2021.3220.1"
"37375679","New Pieces for an Old Puzzle: Approaching Parkinson's Disease from Translatable Animal Models, Gut Microbiota Modulation, and Lipidomics","Ortega Moreno L, Bagues A, Martínez V, Abalo R.","Nutrients. 2023 Jun 16;15(12):2775. doi: 10.3390/nu15122775.","Ortega Moreno L","Nutrients","2023","2023/06/28","PMC10302771","","10.3390/nu15122775"
"36958817","Faecal metabolome and its determinants in inflammatory bowel disease","Vich Vila A, Hu S, Andreu-Sánchez S, Collij V, Jansen BH, Augustijn HE, Bolte LA, Ruigrok RAAA, Abu-Ali G, Giallourakis C, Schneider J, Parkinson J, Al-Garawi A, Zhernakova A, Gacesa R, Fu J, Weersma RK.","Gut. 2023 Aug;72(8):1472-1485. doi: 10.1136/gutjnl-2022-328048. Epub 2023 Mar 23.","Vich Vila A","Gut","2023","2023/03/23","PMC10359577","","10.1136/gutjnl-2022-328048"
"38176929","Research Progress of Microbiota-Gut-Brain Axis in Parkinson's Disease","Zhang W, Ye Y, Song J, Sang T, Xia T, Xie L, Qiu X, Zeng Q, Luo X.","J Integr Neurosci. 2023 Oct 30;22(6):157. doi: 10.31083/j.jin2206157.","Zhang W","J Integr Neurosci","2023","2024/01/04","","","10.31083/j.jin2206157"
