PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35144237","Mediterranean diet adherence, gut microbiota, and Alzheimer's or Parkinson's disease risk: A systematic review","Solch RJ, Aigbogun JO, Voyiadjis AG, Talkington GM, Darensbourg RM, O'Connell S, Pickett KM, Perez SR, Maraganore DM.","J Neurol Sci. 2022 Mar 15;434:120166. doi: 10.1016/j.jns.2022.120166. Epub 2022 Jan 26.","Solch RJ","J Neurol Sci","2022","2022/02/10","","","10.1016/j.jns.2022.120166"
"36280322","Human gut microbiota and Parkinson's disease","Pant A, Bisht KS, Aggarwal S, Maiti TK.","Prog Mol Biol Transl Sci. 2022;192(1):281-307. doi: 10.1016/bs.pmbts.2022.08.004. Epub 2022 Oct 3.","Pant A","Prog Mol Biol Transl Sci","2022","2022/10/24","","","10.1016/bs.pmbts.2022.08.004"
"36087572","Probiotics for constipation and gut microbiota in Parkinson's disease","Du Y, Li Y, Xu X, Li R, Zhang M, Cui Y, Zhang L, Wei Z, Wang S, Tuo H.","Parkinsonism Relat Disord. 2022 Oct;103:92-97. doi: 10.1016/j.parkreldis.2022.08.022. Epub 2022 Sep 5.","Du Y","Parkinsonism Relat Disord","2022","2022/09/10","","","10.1016/j.parkreldis.2022.08.022"
"35464431","Gut Microbiota Interact With the Brain Through Systemic Chronic Inflammation: Implications on Neuroinflammation, Neurodegeneration, and Aging","Mou Y, Du Y, Zhou L, Yue J, Hu X, Liu Y, Chen S, Lin X, Zhang G, Xiao H, Dong B.","Front Immunol. 2022 Apr 7;13:796288. doi: 10.3389/fimmu.2022.796288. eCollection 2022.","Mou Y","Front Immunol","2022","2022/04/25","PMC9021448","","10.3389/fimmu.2022.796288"
"36293176","The Interplay between Gut Microbiota and Parkinson's Disease: Implications on Diagnosis and Treatment","Varesi A, Campagnoli LIM, Fahmideh F, Pierella E, Romeo M, Ricevuti G, Nicoletta M, Chirumbolo S, Pascale A.","Int J Mol Sci. 2022 Oct 14;23(20):12289. doi: 10.3390/ijms232012289.","Varesi A","Int J Mol Sci","2022","2022/10/27","PMC9603886","","10.3390/ijms232012289"
"34942539","The gut microbiota-brain axis, psychobiotics and its influence on brain and behaviour: A systematic review","Barrio C, Arias-Sánchez S, Martín-Monzón I.","Psychoneuroendocrinology. 2022 Mar;137:105640. doi: 10.1016/j.psyneuen.2021.105640. Epub 2021 Dec 17.","Barrio C","Psychoneuroendocrinology","2022","2021/12/23","","","10.1016/j.psyneuen.2021.105640"
"35246670","Inflammation and immune dysfunction in Parkinson disease","Tansey MG, Wallings RL, Houser MC, Herrick MK, Keating CE, Joers V.","Nat Rev Immunol. 2022 Nov;22(11):657-673. doi: 10.1038/s41577-022-00684-6. Epub 2022 Mar 4.","Tansey MG","Nat Rev Immunol","2022","2022/03/05","PMC8895080","","10.1038/s41577-022-00684-6"
"36332796","Gut microbiome and Parkinson's disease: Perspective on pathogenesis and treatment","Salim S, Ahmad F, Banu A, Mohammad F.","J Adv Res. 2023 Aug;50:83-105. doi: 10.1016/j.jare.2022.10.013. Epub 2022 Nov 1.","Salim S","J Adv Res","2023","2022/11/04","PMC10403695","","10.1016/j.jare.2022.10.013"
"34996879","Association of Fecal and Plasma Levels of Short-Chain Fatty Acids With Gut Microbiota and Clinical Severity in Patients With Parkinson Disease","Chen SJ, Chen CC, Liao HY, Lin YT, Wu YW, Liou JM, Wu MS, Kuo CH, Lin CH.","Neurology. 2022 Feb 22;98(8):e848-e858. doi: 10.1212/WNL.0000000000013225. Epub 2022 Jan 7.","Chen SJ","Neurology","2022","2022/01/08","PMC8883514","","10.1212/WNL.0000000000013225"
"33881598","Gastrointestinal dysfunction in Parkinson's disease: molecular pathology and implications of gut microbiome, probiotics, and fecal microbiota transplantation","Metta V, Leta V, Mrudula KR, Prashanth LK, Goyal V, Borgohain R, Chung-Faye G, Chaudhuri KR.","J Neurol. 2022 Mar;269(3):1154-1163. doi: 10.1007/s00415-021-10567-w. Epub 2021 Apr 21.","Metta V","J Neurol","2022","2021/04/21","","","10.1007/s00415-021-10567-w"
"35245613","Brain-gut-microbiota axis in Parkinson's disease: A historical review and future perspective","Dong S, Sun M, He C, Cheng H.","Brain Res Bull. 2022 Jun 1;183:84-93. doi: 10.1016/j.brainresbull.2022.02.015. Epub 2022 Mar 1.","Dong S","Brain Res Bull","2022","2022/03/04","","","10.1016/j.brainresbull.2022.02.015"
"35812394","Gut Microbiota: A Novel Therapeutic Target for Parkinson's Disease","Zhu M, Liu X, Ye Y, Yan X, Cheng Y, Zhao L, Chen F, Ling Z.","Front Immunol. 2022 Jun 24;13:937555. doi: 10.3389/fimmu.2022.937555. eCollection 2022.","Zhu M","Front Immunol","2022","2022/07/11","PMC9263276","","10.3389/fimmu.2022.937555"
"36408101","Interactions between gut microbiota and Parkinson's disease: The role of microbiota-derived amino acid metabolism","Wang W, Jiang S, Xu C, Tang L, Liang Y, Zhao Y, Zhu G.","Front Aging Neurosci. 2022 Nov 2;14:976316. doi: 10.3389/fnagi.2022.976316. eCollection 2022.","Wang W","Front Aging Neurosci","2022","2022/11/21","PMC9667037","","10.3389/fnagi.2022.976316"
"35069178","The Gut-Brain Axis and Its Relation to Parkinson's Disease: A Review","Klann EM, Dissanayake U, Gurrala A, Farrer M, Shukla AW, Ramirez-Zamora A, Mai V, Vedam-Mai V.","Front Aging Neurosci. 2022 Jan 7;13:782082. doi: 10.3389/fnagi.2021.782082. eCollection 2021.","Klann EM","Front Aging Neurosci","2022","2022/01/24","PMC8776990","","10.3389/fnagi.2021.782082"
"35572407","Interplay of gut microbiota and oxidative stress: Perspective on neurodegeneration and neuroprotection","Shandilya S, Kumar S, Kumar Jha N, Kumar Kesari K, Ruokolainen J.","J Adv Res. 2021 Sep 17;38:223-244. doi: 10.1016/j.jare.2021.09.005. eCollection 2022 May.","Shandilya S","J Adv Res","2021","2022/05/16","PMC9091761","","10.1016/j.jare.2021.09.005"
"36421902","Approaching the Gut and Nasal Microbiota in Parkinson's Disease in the Era of the Seed Amplification Assays","Consonni A, Miglietti M, De Luca CMG, Cazzaniga FA, Ciullini A, Dellarole IL, Bufano G, Di Fonzo A, Giaccone G, Baggi F, Moda F.","Brain Sci. 2022 Nov 19;12(11):1579. doi: 10.3390/brainsci12111579.","Consonni A","Brain Sci","2022","2022/11/24","PMC9688507","","10.3390/brainsci12111579"
"35304983","Modifying the diet and gut microbiota to prevent and manage neurodegenerative diseases","Gates EJ, Bernath AK, Klegeris A.","Rev Neurosci. 2022 Mar 21;33(7):767-787. doi: 10.1515/revneuro-2021-0146. Print 2022 Oct 26.","Gates EJ","Rev Neurosci","2022","2022/03/19","PMC9514114","","10.1515/revneuro-2021-0146"
"36034698","Curcumin-driven reprogramming of the gut microbiota and metabolome ameliorates motor deficits and neuroinflammation in a mouse model of Parkinson's disease","Cui C, Han Y, Li H, Yu H, Zhang B, Li G.","Front Cell Infect Microbiol. 2022 Aug 10;12:887407. doi: 10.3389/fcimb.2022.887407. eCollection 2022.","Cui C","Front Cell Infect Microbiol","2022","2022/08/29","PMC9400544","","10.3389/fcimb.2022.887407"
"36613486","Mediterranean Diet and Parkinson's Disease","Bisaglia M.","Int J Mol Sci. 2022 Dec 20;24(1):42. doi: 10.3390/ijms24010042.","Bisaglia M","Int J Mol Sci","2022","2023/01/08","PMC9820428","","10.3390/ijms24010042"
"35067061","Lactobacillus plantarum DP189 Reduces α-SYN Aggravation in MPTP-Induced Parkinson's Disease Mice via Regulating Oxidative Damage, Inflammation, and Gut Microbiota Disorder","Wang L, Zhao Z, Zhao L, Zhao Y, Yang G, Wang C, Gao L, Niu C, Li S.","J Agric Food Chem. 2022 Feb 2;70(4):1163-1173. doi: 10.1021/acs.jafc.1c07711. Epub 2022 Jan 24.","Wang L","J Agric Food Chem","2022","2022/01/24","","","10.1021/acs.jafc.1c07711"
"34985325","A Comprehensive Review on the Role of the Gut Microbiome in Human Neurological Disorders","Sorboni SG, Moghaddam HS, Jafarzadeh-Esfehani R, Soleimanpour S.","Clin Microbiol Rev. 2022 Jan 19;35(1):e0033820. doi: 10.1128/CMR.00338-20. Epub 2022 Jan 5.","Sorboni SG","Clin Microbiol Rev","2022","2022/01/05","PMC8729913","","10.1128/CMR.00338-20"
"34695538","Oral, Nasal, and Gut Microbiota in Parkinson's Disease","Li Z, Lu G, Luo E, Wu B, Li Z, Guo J, Xia Z, Zheng C, Su Q, Zeng Y, Chan WY, Su X, Qiu X, Zheng X, Cai Q, Xu Y, Chen Y, Fan Y, Chen W, Yu Z, Chen X, Zheng C, Wang M, Poon WS, Luo X.","Neuroscience. 2022 Jan 1;480:65-78. doi: 10.1016/j.neuroscience.2021.10.011. Epub 2021 Oct 22.","Li Z","Neuroscience","2022","2021/10/25","","","10.1016/j.neuroscience.2021.10.011"
"34492236","Probiotics: Potential novel therapeutics for microbiota-gut-brain axis dysfunction across gender and lifespan","Snigdha S, Ha K, Tsai P, Dinan TG, Bartos JD, Shahid M.","Pharmacol Ther. 2022 Mar;231:107978. doi: 10.1016/j.pharmthera.2021.107978. Epub 2021 Sep 4.","Snigdha S","Pharmacol Ther","2022","2021/09/07","","","10.1016/j.pharmthera.2021.107978"
"35203645","Role of Microbiota-Gut-Brain Axis in Regulating Dopaminergic Signaling","Hamamah S, Aghazarian A, Nazaryan A, Hajnal A, Covasa M.","Biomedicines. 2022 Feb 13;10(2):436. doi: 10.3390/biomedicines10020436.","Hamamah S","Biomedicines","2022","2022/02/25","PMC8962300","","10.3390/biomedicines10020436"
"36284437","Gut bacterial profiles in Parkinson's disease: A systematic review","Li Z, Liang H, Hu Y, Lu L, Zheng C, Fan Y, Wu B, Zou T, Luo X, Zhang X, Zeng Y, Liu Z, Zhou Z, Yue Z, Ren Y, Li Z, Su Q, Xu P.","CNS Neurosci Ther. 2023 Jan;29(1):140-157. doi: 10.1111/cns.13990. Epub 2022 Oct 25.","Li Z","CNS Neurosci Ther","2023","2022/10/26","PMC9804059","","10.1111/cns.13990"
